Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.200 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.200 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.200 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.200 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.200 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.200 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.200 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.200 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.200 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.200 |
Melhor fitness:0.992 |Erro: 0.008 |a: 1.968 |b: 1.200 |
Melhor fitness:0.992 |Erro: 0.008 |a: 1.968 |b: 1.200 |
Melhor fitness:0.992 |Erro: 0.008 |a: 1.968 |b: 1.200 |
Melhor fitness:0.992 |Erro: 0.008 |a: 1.968 |b: 1.200 |
Melhor fitness:0.992 |Erro: 0.008 |a: 1.968 |b: 1.200 |
Melhor fitness:0.992 |Erro: 0.008 |a: 1.968 |b: 1.200 |
Melhor fitness:0.992 |Erro: 0.008 |a: 1.968 |b: 1.200 |
Melhor fitness:0.992 |Erro: 0.008 |a: 1.968 |b: 1.200 |
Melhor fitness:0.992 |Erro: 0.008 |a: 1.968 |b: 1.200 |
Melhor fitness:0.992 |Erro: 0.008 |a: 1.968 |b: 1.200 |
Melhor fitness:0.992 |Erro: 0.008 |a: 1.968 |b: 1.200 |
Melhor fitness:0.992 |Erro: 0.008 |a: 1.968 |b: 1.200 |
Melhor fitness:0.992 |Erro: 0.008 |a: 1.968 |b: 1.200 |
Melhor fitness:0.992 |Erro: 0.008 |a: 1.968 |b: 1.200 |
Melhor fitness:0.992 |Erro: 0.008 |a: 1.968 |b: 1.200 |
Melhor fitness:0.992 |Erro: 0.008 |a: 1.968 |b: 1.200 |
Melhor fitness:0.992 |Erro: 0.008 |a: 1.968 |b: 1.200 |
Melhor fitness:0.993 |Erro: 0.007 |a: 1.968 |b: 1.108 |
Melhor fitness:0.993 |Erro: 0.007 |a: 1.968 |b: 1.108 |
Melhor fitness:0.993 |Erro: 0.007 |a: 1.968 |b: 1.108 |
Melhor fitness:0.993 |Erro: 0.007 |a: 1.968 |b: 1.108 |
Melhor fitness:0.993 |Erro: 0.007 |a: 1.968 |b: 1.108 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.136 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.146 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.146 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.146 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.146 |
Melhor fitness:0.995 |Erro: 0.005 |a: 1.968 |b: 1.146 |
Melhor fitness:0.996 |Erro: 0.004 |a: 2.006 |b: 1.036 |
Melhor fitness:0.996 |Erro: 0.004 |a: 2.006 |b: 1.036 |
Melhor fitness:0.996 |Erro: 0.004 |a: 2.006 |b: 1.036 |
Melhor fitness:0.996 |Erro: 0.004 |a: 2.006 |b: 1.036 |
Melhor fitness:0.996 |Erro: 0.004 |a: 2.006 |b: 1.036 |
Melhor fitness:0.997 |Erro: 0.003 |a: 2.006 |b: 0.916 |
Melhor fitness:0.997 |Erro: 0.003 |a: 2.006 |b: 0.916 |
Melhor fitness:0.997 |Erro: 0.003 |a: 2.006 |b: 0.916 |
Melhor fitness:0.997 |Erro: 0.003 |a: 2.006 |b: 0.916 |
Melhor fitness:0.997 |Erro: 0.003 |a: 2.006 |b: 0.916 |
Melhor fitness:0.997 |Erro: 0.003 |a: 2.006 |b: 0.916 |
Melhor fitness:0.997 |Erro: 0.003 |a: 2.006 |b: 0.916 |
Melhor fitness:0.997 |Erro: 0.003 |a: 2.006 |b: 0.916 |
Melhor fitness:0.997 |Erro: 0.003 |a: 2.006 |b: 0.916 |
